8f66d910-172e-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 18:30:48;11;2022-08-09 18:30:48;96;2022-08-09 18:30:48;450;2022-08-09 18:30:48;39;2022-08-09 18:30:48;0;2022-08-09 18:30:48;44;2022-08-09 18:30:48;1;2022-08-09 18:30:48;28.7;2022-08-09 18:30:48;1577930431;2022-08-09 18:30:48;normal
;2022-08-09 18:35:48;11;2022-08-09 18:35:48;96;2022-08-09 18:35:48;456;2022-08-09 18:35:48;39;2022-08-09 18:35:48;0;2022-08-09 18:35:48;43;2022-08-09 18:35:48;1;2022-08-09 18:35:48;28.6;2022-08-09 18:35:48;1577930731;2022-08-09 18:35:48;normal
;2022-08-09 18:40:48;11;2022-08-09 18:40:48;96;2022-08-09 18:40:48;462;2022-08-09 18:40:48;39;2022-08-09 18:40:48;0;2022-08-09 18:40:48;43;2022-08-09 18:40:48;1;2022-08-09 18:40:48;28.6;2022-08-09 18:40:48;1577931031;2022-08-09 18:40:48;normal
;2022-08-09 18:45:48;10;2022-08-09 18:45:48;96;2022-08-09 18:45:48;459;2022-08-09 18:45:48;39;2022-08-09 18:45:48;0;2022-08-09 18:45:48;44;2022-08-09 18:45:48;1;2022-08-09 18:45:48;28.6;2022-08-09 18:45:48;1577931331;2022-08-09 18:45:48;normal
;2022-08-09 18:50:48;11;2022-08-09 18:50:48;96;2022-08-09 18:50:48;455;2022-08-09 18:50:48;39;2022-08-09 18:50:48;0;2022-08-09 18:50:48;43;2022-08-09 18:50:48;1;2022-08-09 18:50:48;28.6;2022-08-09 18:50:48;1577931631;2022-08-09 18:50:48;normal
;2022-08-09 18:55:48;12;2022-08-09 18:55:48;96;2022-08-09 18:55:48;454;2022-08-09 18:55:48;39;2022-08-09 18:55:48;0;2022-08-09 18:55:48;43;2022-08-09 18:55:48;1;2022-08-09 18:55:48;28.6;2022-08-09 18:55:48;1577931931;2022-08-09 18:55:48;normal
;2022-08-09 19:00:48;11;2022-08-09 19:00:48;96;2022-08-09 19:00:48;455;2022-08-09 19:00:48;39;2022-08-09 19:00:48;0;2022-08-09 19:00:48;44;2022-08-09 19:00:48;1;2022-08-09 19:00:48;28.6;2022-08-09 19:00:48;1577932231;2022-08-09 19:00:48;normal
;2022-08-09 19:05:48;12;2022-08-09 19:05:48;96;2022-08-09 19:05:48;445;2022-08-09 19:05:48;39;2022-08-09 19:05:48;0;2022-08-09 19:05:48;43;2022-08-09 19:05:48;1;2022-08-09 19:05:48;28.6;2022-08-09 19:05:48;1577932531;2022-08-09 19:05:48;normal
;2022-08-09 19:10:48;11;2022-08-09 19:10:48;96;2022-08-09 19:10:48;450;2022-08-09 19:10:48;40;2022-08-09 19:10:48;0;2022-08-09 19:10:48;43;2022-08-09 19:10:48;1;2022-08-09 19:10:48;28.6;2022-08-09 19:10:48;1577932831;2022-08-09 19:10:48;normal
;2022-08-09 19:15:48;11;2022-08-09 19:15:48;96;2022-08-09 19:15:48;450;2022-08-09 19:15:48;40;2022-08-09 19:15:48;0;2022-08-09 19:15:48;44;2022-08-09 19:15:48;1;2022-08-09 19:15:48;28.6;2022-08-09 19:15:48;1577933131;2022-08-09 19:15:48;normal
