c5f6b3c0-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 18:55:26;89;2022-08-09 18:55:26;96;2022-08-09 18:55:26;600;2022-08-09 18:55:26;40;2022-08-09 18:55:26;66;2022-08-09 18:55:26;46;2022-08-09 18:55:26;1;2022-08-09 18:55:26;28.8;2022-08-09 18:55:26;1577931931;2022-08-09 18:55:26;normal
;2022-08-09 19:00:26;90;2022-08-09 19:00:26;96;2022-08-09 19:00:26;599;2022-08-09 19:00:26;40;2022-08-09 19:00:26;64;2022-08-09 19:00:26;46;2022-08-09 19:00:26;1;2022-08-09 19:00:26;28.8;2022-08-09 19:00:26;1577932231;2022-08-09 19:00:26;normal
;2022-08-09 19:05:26;89;2022-08-09 19:05:26;96;2022-08-09 19:05:26;598;2022-08-09 19:05:26;40;2022-08-09 19:05:26;64;2022-08-09 19:05:26;46;2022-08-09 19:05:26;1;2022-08-09 19:05:26;28.8;2022-08-09 19:05:26;1577932531;2022-08-09 19:05:26;normal
;2022-08-09 19:10:26;90;2022-08-09 19:10:26;96;2022-08-09 19:10:26;601;2022-08-09 19:10:26;40;2022-08-09 19:10:26;61;2022-08-09 19:10:26;46;2022-08-09 19:10:26;1;2022-08-09 19:10:26;28.8;2022-08-09 19:10:26;1577932831;2022-08-09 19:10:26;normal
;2022-08-09 19:15:26;89;2022-08-09 19:15:26;96;2022-08-09 19:15:26;612;2022-08-09 19:15:26;40;2022-08-09 19:15:26;61;2022-08-09 19:15:26;46;2022-08-09 19:15:26;1;2022-08-09 19:15:26;28.8;2022-08-09 19:15:26;1577933131;2022-08-09 19:15:26;normal
;2022-08-09 19:20:26;89;2022-08-09 19:20:26;96;2022-08-09 19:20:26;620;2022-08-09 19:20:26;40;2022-08-09 19:20:26;53;2022-08-09 19:20:26;46;2022-08-09 19:20:26;1;2022-08-09 19:20:26;28.8;2022-08-09 19:20:26;1577933431;2022-08-09 19:20:26;normal
;2022-08-09 19:25:26;89;2022-08-09 19:25:26;96;2022-08-09 19:25:26;601;2022-08-09 19:25:26;40;2022-08-09 19:25:26;46;2022-08-09 19:25:26;46;2022-08-09 19:25:26;1;2022-08-09 19:25:26;28.7;2022-08-09 19:25:26;1577933731;2022-08-09 19:25:26;normal
;2022-08-09 19:30:26;89;2022-08-09 19:30:26;96;2022-08-09 19:30:26;621;2022-08-09 19:30:26;40;2022-08-09 19:30:26;38;2022-08-09 19:30:26;46;2022-08-09 19:30:26;1;2022-08-09 19:30:26;28.7;2022-08-09 19:30:26;1577934031;2022-08-09 19:30:26;normal
;2022-08-09 19:35:26;88;2022-08-09 19:35:26;96;2022-08-09 19:35:26;626;2022-08-09 19:35:26;40;2022-08-09 19:35:26;30;2022-08-09 19:35:26;46;2022-08-09 19:35:26;1;2022-08-09 19:35:26;28.7;2022-08-09 19:35:26;1577934331;2022-08-09 19:35:26;normal
;2022-08-09 19:40:26;89;2022-08-09 19:40:26;96;2022-08-09 19:40:26;618;2022-08-09 19:40:26;40;2022-08-09 19:40:26;25;2022-08-09 19:40:26;46;2022-08-09 19:40:26;1;2022-08-09 19:40:26;28.7;2022-08-09 19:40:26;1577934631;2022-08-09 19:40:26;normal
;2022-08-09 19:45:26;89;2022-08-09 19:45:26;96;2022-08-09 19:45:26;617;2022-08-09 19:45:26;40;2022-08-09 19:45:26;23;2022-08-09 19:45:26;46;2022-08-09 19:45:26;1;2022-08-09 19:45:26;28.7;2022-08-09 19:45:26;1577934931;2022-08-09 19:45:26;normal
;2022-08-09 19:50:26;89;2022-08-09 19:50:26;96;2022-08-09 19:50:26;606;2022-08-09 19:50:26;40;2022-08-09 19:50:26;17;2022-08-09 19:50:26;46;2022-08-09 19:50:26;1;2022-08-09 19:50:26;28.7;2022-08-09 19:50:26;1577935231;2022-08-09 19:50:26;normal
;2022-08-09 19:55:26;89;2022-08-09 19:55:26;96;2022-08-09 19:55:26;609;2022-08-09 19:55:26;41;2022-08-09 19:55:26;15;2022-08-09 19:55:26;46;2022-08-09 19:55:26;1;2022-08-09 19:55:26;28.6;2022-08-09 19:55:26;1577935531;2022-08-09 19:55:26;normal
