edaae300-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 19:18:48;86;2022-08-09 19:18:48;96;2022-08-09 19:18:48;642;2022-08-09 19:18:48;38;2022-08-09 19:18:48;38;2022-08-09 19:18:48;45;2022-08-09 19:18:48;1;2022-08-09 19:18:48;29.4;2022-08-09 19:18:48;1577933429;2022-08-09 19:18:48;normal
;2022-08-09 19:23:48;86;2022-08-09 19:23:48;96;2022-08-09 19:23:48;636;2022-08-09 19:23:48;38;2022-08-09 19:23:48;33;2022-08-09 19:23:48;45;2022-08-09 19:23:48;1;2022-08-09 19:23:48;29.4;2022-08-09 19:23:48;1577933729;2022-08-09 19:23:48;normal
;2022-08-09 19:28:48;86;2022-08-09 19:28:48;96;2022-08-09 19:28:48;656;2022-08-09 19:28:48;38;2022-08-09 19:28:48;28;2022-08-09 19:28:48;45;2022-08-09 19:28:48;1;2022-08-09 19:28:48;29.4;2022-08-09 19:28:48;1577934029;2022-08-09 19:28:48;normal
;2022-08-09 19:33:48;86;2022-08-09 19:33:48;96;2022-08-09 19:33:48;643;2022-08-09 19:33:48;38;2022-08-09 19:33:48;23;2022-08-09 19:33:48;45;2022-08-09 19:33:48;1;2022-08-09 19:33:48;29.3;2022-08-09 19:33:48;1577934329;2022-08-09 19:33:48;normal
;2022-08-09 19:38:48;86;2022-08-09 19:38:48;96;2022-08-09 19:38:48;629;2022-08-09 19:38:48;38;2022-08-09 19:38:48;20;2022-08-09 19:38:48;45;2022-08-09 19:38:48;1;2022-08-09 19:38:48;29.3;2022-08-09 19:38:48;1577934629;2022-08-09 19:38:48;normal
;2022-08-09 19:43:48;86;2022-08-09 19:43:48;96;2022-08-09 19:43:48;631;2022-08-09 19:43:48;39;2022-08-09 19:43:48;17;2022-08-09 19:43:48;46;2022-08-09 19:43:48;1;2022-08-09 19:43:48;29.3;2022-08-09 19:43:48;1577934929;2022-08-09 19:43:48;normal
;2022-08-09 19:48:48;86;2022-08-09 19:48:48;96;2022-08-09 19:48:48;625;2022-08-09 19:48:48;38;2022-08-09 19:48:48;12;2022-08-09 19:48:48;45;2022-08-09 19:48:48;1;2022-08-09 19:48:48;29.3;2022-08-09 19:48:48;1577935229;2022-08-09 19:48:48;normal
;2022-08-09 19:53:48;86;2022-08-09 19:53:48;96;2022-08-09 19:53:48;634;2022-08-09 19:53:48;39;2022-08-09 19:53:48;12;2022-08-09 19:53:48;45;2022-08-09 19:53:48;1;2022-08-09 19:53:48;29.3;2022-08-09 19:53:48;1577935529;2022-08-09 19:53:48;normal
;2022-08-09 19:58:48;86;2022-08-09 19:58:48;96;2022-08-09 19:58:48;622;2022-08-09 19:58:48;39;2022-08-09 19:58:48;10;2022-08-09 19:58:48;46;2022-08-09 19:58:48;1;2022-08-09 19:58:48;29.3;2022-08-09 19:58:48;1577935829;2022-08-09 19:58:48;normal
;2022-08-09 20:03:48;86;2022-08-09 20:03:48;96;2022-08-09 20:03:48;622;2022-08-09 20:03:48;39;2022-08-09 20:03:48;10;2022-08-09 20:03:48;45;2022-08-09 20:03:48;1;2022-08-09 20:03:48;29.3;2022-08-09 20:03:48;1577936129;2022-08-09 20:03:48;normal
;2022-08-09 20:08:48;86;2022-08-09 20:08:48;96;2022-08-09 20:08:48;640;2022-08-09 20:08:48;39;2022-08-09 20:08:48;7;2022-08-09 20:08:48;45;2022-08-09 20:08:48;1;2022-08-09 20:08:48;29.2;2022-08-09 20:08:48;1577936429;2022-08-09 20:08:48;normal
;2022-08-09 20:13:48;87;2022-08-09 20:13:48;96;2022-08-09 20:13:48;596;2022-08-09 20:13:48;39;2022-08-09 20:13:48;5;2022-08-09 20:13:48;45;2022-08-09 20:13:48;1;2022-08-09 20:13:48;29.2;2022-08-09 20:13:48;1577936729;2022-08-09 20:13:48;normal
