ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
2022-08-09 18:53:09;37;2022-08-09 18:53:09;96;2022-08-09 18:53:09;482;2022-08-09 18:53:09;42;2022-08-09 18:53:09;12;2022-08-09 18:53:09;46;2022-08-09 18:53:09;1;2022-08-09 18:53:09;28.4;2022-08-09 18:53:09;1577932232;2022-08-09 18:53:09;normal
2022-08-09 18:58:08;36;2022-08-09 18:58:08;96;2022-08-09 18:58:08;486;2022-08-09 18:58:08;42;2022-08-09 18:58:08;12;2022-08-09 18:58:08;45;2022-08-09 18:58:08;1;2022-08-09 18:58:08;28.5;2022-08-09 18:58:08;1577932532;2022-08-09 18:58:08;normal
2022-08-09 19:03:08;36;2022-08-09 19:03:08;96;2022-08-09 19:03:08;489;2022-08-09 19:03:08;42;2022-08-09 19:03:08;12;2022-08-09 19:03:08;45;2022-08-09 19:03:08;1;2022-08-09 19:03:08;28.4;2022-08-09 19:03:08;1577932832;2022-08-09 19:03:08;normal
2022-08-09 19:08:08;37;2022-08-09 19:08:08;96;2022-08-09 19:08:08;489;2022-08-09 19:08:08;42;2022-08-09 19:08:08;12;2022-08-09 19:08:08;45;2022-08-09 19:08:08;1;2022-08-09 19:08:08;28.4;2022-08-09 19:08:08;1577933132;2022-08-09 19:08:08;normal
2022-08-09 19:13:08;36;2022-08-09 19:13:08;96;2022-08-09 19:13:08;493;2022-08-09 19:13:08;42;2022-08-09 19:13:08;12;2022-08-09 19:13:08;45;2022-08-09 19:13:08;1;2022-08-09 19:13:08;28.4;2022-08-09 19:13:08;1577933432;2022-08-09 19:13:08;normal
2022-08-09 19:18:09;37;2022-08-09 19:18:09;96;2022-08-09 19:18:09;495;2022-08-09 19:18:09;42;2022-08-09 19:18:09;10;2022-08-09 19:18:09;45;2022-08-09 19:18:09;1;2022-08-09 19:18:09;28.4;2022-08-09 19:18:09;1577933732;2022-08-09 19:18:09;normal
2022-08-09 19:23:08;37;2022-08-09 19:23:08;96;2022-08-09 19:23:08;483;2022-08-09 19:23:08;42;2022-08-09 19:23:08;7;2022-08-09 19:23:08;45;2022-08-09 19:23:08;1;2022-08-09 19:23:08;28.4;2022-08-09 19:23:08;1577934032;2022-08-09 19:23:08;normal
2022-08-09 19:28:08;37;2022-08-09 19:28:08;96;2022-08-09 19:28:08;492;2022-08-09 19:28:08;42;2022-08-09 19:28:08;5;2022-08-09 19:28:08;46;2022-08-09 19:28:08;1;2022-08-09 19:28:08;28.3;2022-08-09 19:28:08;1577934332;2022-08-09 19:28:08;normal
2022-08-09 19:33:08;37;2022-08-09 19:33:08;96;2022-08-09 19:33:08;487;2022-08-09 19:33:08;42;2022-08-09 19:33:08;5;2022-08-09 19:33:08;46;2022-08-09 19:33:08;1;2022-08-09 19:33:08;28.4;2022-08-09 19:33:08;1577934632;2022-08-09 19:33:08;normal
2022-08-09 19:38:08;36;2022-08-09 19:38:08;96;2022-08-09 19:38:08;499;2022-08-09 19:38:08;42;2022-08-09 19:38:08;5;2022-08-09 19:38:08;46;2022-08-09 19:38:08;1;2022-08-09 19:38:08;28.3;2022-08-09 19:38:08;1577934932;2022-08-09 19:38:08;normal
2022-08-09 19:43:08;37;2022-08-09 19:43:08;96;2022-08-09 19:43:08;497;2022-08-09 19:43:08;42;2022-08-09 19:43:08;5;2022-08-09 19:43:08;46;2022-08-09 19:43:08;1;2022-08-09 19:43:08;28.3;2022-08-09 19:43:08;1577935232;2022-08-09 19:43:08;normal
2022-08-09 19:48:08;36;2022-08-09 19:48:08;96;2022-08-09 19:48:08;499;2022-08-09 19:48:08;42;2022-08-09 19:48:08;2;2022-08-09 19:48:08;45;2022-08-09 19:48:08;1;2022-08-09 19:48:08;28.3;2022-08-09 19:48:08;1577935532;2022-08-09 19:48:08;normal
2022-08-09 19:53:08;36;2022-08-09 19:53:08;96;2022-08-09 19:53:08;478;2022-08-09 19:53:08;42;2022-08-09 19:53:08;2;2022-08-09 19:53:08;46;2022-08-09 19:53:08;1;2022-08-09 19:53:08;28.3;2022-08-09 19:53:08;1577935832;2022-08-09 19:53:08;normal
2022-08-09 19:58:08;36;2022-08-09 19:58:08;96;2022-08-09 19:58:08;481;2022-08-09 19:58:08;42;2022-08-09 19:58:08;2;2022-08-09 19:58:08;46;2022-08-09 19:58:08;1;2022-08-09 19:58:08;28.3;2022-08-09 19:58:08;1577936132;2022-08-09 19:58:08;normal
2022-08-09 20:03:08;36;2022-08-09 20:03:08;96;2022-08-09 20:03:08;498;2022-08-09 20:03:08;42;2022-08-09 20:03:08;2;2022-08-09 20:03:08;45;2022-08-09 20:03:08;1;2022-08-09 20:03:08;28.3;2022-08-09 20:03:08;1577936432;2022-08-09 20:03:08;normal
2022-08-09 20:08:08;37;2022-08-09 20:08:08;96;2022-08-09 20:08:08;481;2022-08-09 20:08:08;42;2022-08-09 20:08:08;2;2022-08-09 20:08:08;46;2022-08-09 20:08:08;1;2022-08-09 20:08:08;28.2;2022-08-09 20:08:08;1577936732;2022-08-09 20:08:08;normal
2022-08-09 20:13:08;37;2022-08-09 20:13:08;96;2022-08-09 20:13:08;471;2022-08-09 20:13:08;42;2022-08-09 20:13:08;2;2022-08-09 20:13:08;46;2022-08-09 20:13:08;1;2022-08-09 20:13:08;28.2;2022-08-09 20:13:08;1577937032;2022-08-09 20:13:08;normal
2022-08-09 20:18:08;36;2022-08-09 20:18:08;96;2022-08-09 20:18:08;493;2022-08-09 20:18:08;42;2022-08-09 20:18:08;0;2022-08-09 20:18:08;46;2022-08-09 20:18:08;1;2022-08-09 20:18:08;28.2;2022-08-09 20:18:08;1577937332;2022-08-09 20:18:08;normal
2022-08-09 20:28:08;37;2022-08-09 20:28:08;96;2022-08-09 20:28:08;466;2022-08-09 20:28:08;42;2022-08-09 20:28:08;0;2022-08-09 20:28:08;46;2022-08-09 20:28:08;1;2022-08-09 20:28:08;28.2;2022-08-09 20:28:08;1577937708;2022-08-09 20:28:08;normal
2022-08-09 20:28:10;36;2022-08-09 20:28:10;96;2022-08-09 20:28:10;482;2022-08-09 20:28:10;42;2022-08-09 20:28:10;0;2022-08-09 20:28:10;45;2022-08-09 20:28:10;1;2022-08-09 20:28:10;28.2;2022-08-09 20:28:10;1577937932;2022-08-09 20:28:10;normal
2022-08-09 20:33:08;36;2022-08-09 20:33:08;95;2022-08-09 20:33:08;478;2022-08-09 20:33:08;42;2022-08-09 20:33:08;0;2022-08-09 20:33:08;45;2022-08-09 20:33:08;1;2022-08-09 20:33:08;28.2;2022-08-09 20:33:08;1577938232;2022-08-09 20:33:08;normal
2022-08-09 20:38:08;37;2022-08-09 20:38:08;95;2022-08-09 20:38:08;470;2022-08-09 20:38:08;42;2022-08-09 20:38:08;0;2022-08-09 20:38:08;46;2022-08-09 20:38:08;1;2022-08-09 20:38:08;28.2;2022-08-09 20:38:08;1577938532;2022-08-09 20:38:08;normal
2022-08-09 20:43:08;37;2022-08-09 20:43:08;95;2022-08-09 20:43:08;473;2022-08-09 20:43:08;42;2022-08-09 20:43:08;0;2022-08-09 20:43:08;46;2022-08-09 20:43:08;1;2022-08-09 20:43:08;28.1;2022-08-09 20:43:08;1577938832;2022-08-09 20:43:08;normal
2022-08-09 20:48:08;37;2022-08-09 20:48:08;95;2022-08-09 20:48:08;462;2022-08-09 20:48:08;42;2022-08-09 20:48:08;0;2022-08-09 20:48:08;45;2022-08-09 20:48:08;1;2022-08-09 20:48:08;28.1;2022-08-09 20:48:08;1577939132;2022-08-09 20:48:08;normal
2022-08-09 20:53:08;37;2022-08-09 20:53:08;95;2022-08-09 20:53:08;474;2022-08-09 20:53:08;42;2022-08-09 20:53:08;0;2022-08-09 20:53:08;44;2022-08-09 20:53:08;1;2022-08-09 20:53:08;28.1;2022-08-09 20:53:08;1577939432;2022-08-09 20:53:08;normal
2022-08-09 20:58:08;36;2022-08-09 20:58:08;95;2022-08-09 20:58:08;484;2022-08-09 20:58:08;42;2022-08-09 20:58:08;0;2022-08-09 20:58:08;46;2022-08-09 20:58:08;1;2022-08-09 20:58:08;28.1;2022-08-09 20:58:08;1577939732;2022-08-09 20:58:08;normal
2022-08-09 21:03:08;37;2022-08-09 21:03:08;95;2022-08-09 21:03:08;465;2022-08-09 21:03:08;43;2022-08-09 21:03:08;0;2022-08-09 21:03:08;46;2022-08-09 21:03:08;1;2022-08-09 21:03:08;28.1;2022-08-09 21:03:08;1577940032;2022-08-09 21:03:08;normal
2022-08-09 21:08:08;36;2022-08-09 21:08:08;95;2022-08-09 21:08:08;468;2022-08-09 21:08:08;43;2022-08-09 21:08:08;0;2022-08-09 21:08:08;46;2022-08-09 21:08:08;1;2022-08-09 21:08:08;28;2022-08-09 21:08:08;1577940332;2022-08-09 21:08:08;normal
2022-08-09 21:13:08;36;2022-08-09 21:13:08;95;2022-08-09 21:13:08;487;2022-08-09 21:13:08;43;2022-08-09 21:13:08;0;2022-08-09 21:13:08;46;2022-08-09 21:13:08;1;2022-08-09 21:13:08;28;2022-08-09 21:13:08;1577940632;2022-08-09 21:13:08;normal
2022-08-09 21:18:08;37;2022-08-09 21:18:08;95;2022-08-09 21:18:08;471;2022-08-09 21:18:08;43;2022-08-09 21:18:08;0;2022-08-09 21:18:08;46;2022-08-09 21:18:08;1;2022-08-09 21:18:08;28;2022-08-09 21:18:08;1577940932;2022-08-09 21:18:08;normal
2022-08-09 21:23:08;37;2022-08-09 21:23:08;95;2022-08-09 21:23:08;473;2022-08-09 21:23:08;43;2022-08-09 21:23:08;0;2022-08-09 21:23:08;46;2022-08-09 21:23:08;1;2022-08-09 21:23:08;28;2022-08-09 21:23:08;1577941232;2022-08-09 21:23:08;normal
2022-08-09 21:28:08;37;2022-08-09 21:28:08;95;2022-08-09 21:28:08;466;2022-08-09 21:28:08;43;2022-08-09 21:28:08;0;2022-08-09 21:28:08;46;2022-08-09 21:28:08;1;2022-08-09 21:28:08;27.9;2022-08-09 21:28:08;1577941532;2022-08-09 21:28:08;normal
2022-08-09 21:33:07;36;2022-08-09 21:33:07;95;2022-08-09 21:33:07;452;2022-08-09 21:33:07;43;2022-08-09 21:33:07;0;2022-08-09 21:33:07;44;2022-08-09 21:33:07;1;2022-08-09 21:33:07;27.9;2022-08-09 21:33:07;1577941832;2022-08-09 21:33:07;normal
2022-08-09 21:38:07;37;2022-08-09 21:38:07;95;2022-08-09 21:38:07;456;2022-08-09 21:38:07;43;2022-08-09 21:38:07;0;2022-08-09 21:38:07;46;2022-08-09 21:38:07;1;2022-08-09 21:38:07;27.9;2022-08-09 21:38:07;1577942132;2022-08-09 21:38:07;normal
2022-08-09 21:43:07;36;2022-08-09 21:43:07;95;2022-08-09 21:43:07;456;2022-08-09 21:43:07;43;2022-08-09 21:43:07;0;2022-08-09 21:43:07;46;2022-08-09 21:43:07;1;2022-08-09 21:43:07;27.9;2022-08-09 21:43:07;1577942432;2022-08-09 21:43:07;normal
2022-08-09 21:48:08;37;2022-08-09 21:48:08;95;2022-08-09 21:48:08;464;2022-08-09 21:48:08;43;2022-08-09 21:48:08;0;2022-08-09 21:48:08;46;2022-08-09 21:48:08;1;2022-08-09 21:48:08;27.9;2022-08-09 21:48:08;1577942732;2022-08-09 21:48:08;normal
2022-08-09 21:53:08;36;2022-08-09 21:53:08;95;2022-08-09 21:53:08;477;2022-08-09 21:53:08;43;2022-08-09 21:53:08;0;2022-08-09 21:53:08;46;2022-08-09 21:53:08;1;2022-08-09 21:53:08;27.9;2022-08-09 21:53:08;1577943032;2022-08-09 21:53:08;normal
2022-08-09 21:58:08;37;2022-08-09 21:58:08;95;2022-08-09 21:58:08;465;2022-08-09 21:58:08;43;2022-08-09 21:58:08;0;2022-08-09 21:58:08;46;2022-08-09 21:58:08;1;2022-08-09 21:58:08;27.9;2022-08-09 21:58:08;1577943332;2022-08-09 21:58:08;normal
2022-08-09 22:03:08;36;2022-08-09 22:03:08;95;2022-08-09 22:03:08;480;2022-08-09 22:03:08;43;2022-08-09 22:03:08;0;2022-08-09 22:03:08;46;2022-08-09 22:03:08;1;2022-08-09 22:03:08;27.9;2022-08-09 22:03:08;1577943632;2022-08-09 22:03:08;normal
2022-08-09 22:08:08;36;2022-08-09 22:08:08;95;2022-08-09 22:08:08;475;2022-08-09 22:08:08;43;2022-08-09 22:08:08;0;2022-08-09 22:08:08;46;2022-08-09 22:08:08;1;2022-08-09 22:08:08;27.9;2022-08-09 22:08:08;1577943932;2022-08-09 22:08:08;normal
2022-08-09 22:13:07;37;2022-08-09 22:13:07;95;2022-08-09 22:13:07;464;2022-08-09 22:13:07;43;2022-08-09 22:13:07;0;2022-08-09 22:13:07;46;2022-08-09 22:13:07;1;2022-08-09 22:13:07;27.9;2022-08-09 22:13:07;1577944232;2022-08-09 22:13:07;normal
